,seeds1,seeds2,moves,player1,player2
39733,25,10,5241565433344651245542543344165413243546513243243546511223665415,6522,1952
40317,25,3,523624514152161411523446551241322331452154352241335244536541526624,4052,1952
40380,25,20,523614564452211354324453665564134534534524566425133223451614152152336142546623351422334152661524334152651614233441526516,246,1952
40403,32,6,52353653443325321652133425314152116,3549,1952
40523,10,25,523354355652331352336424523553453453243132532622531122415233516654151651614,1154,1952
40582,26,7,5231522526332534352611322451665364452112254623,7742,1952
40924,23,25,522624232645534226322533133252242331334452622115142255465544255231533155241241345512435426455631521324455666,822,1952
41134,26,10,52262115344234412551243246435524455631664151613243541,8302,1952
41145,13,35,522621134125122151365241526551432145123344526514153341551422556132445566,7831,1952
41191,26,5,52261316512423441324662315125541532624152243546435511653455265,3003,1952
41203,28,12,52261315245145533451435462413442536664524453342615,6102,1952
41207,26,18,52261311561242215312234152665466235522433452644643513324152254433142625116152433426152651614233142536516,2493,1952
41218,9,25,5226111453415413245241642554455365356423153415264,4213,1952
41242,14,27,522551155122455131654642152624543556113261245234416613143225,8302,1952
41265,28,10,522523311151356241133213451456652151165344161516126,911,1952
41304,25,11,5224513451223411333224133425533425366541132542613142561143343112522462552351346,2257,1952
41308,32,2,52245124423553514566544556335445562152435435461651423314151651126,583,1952
41378,26,16,5223542556522313524655234234633223363536211552241324513161524661516514452255316441526635144351234235445366351442552143324453651426,1154,1952
41380,12,26,522354255652145115245511226551226136143253151152216242241315342635116132233456421415234,1154,1952
41439,18,26,52215215135622551122466623154462231524352641322415433425466132432435165665443344253651612213443526516,7686,1952
41498,25,8,5216415225221122354152112236241536124322643264426151641224314314266214332435,1154,1952
41519,26,19,521622514422445134511224352134524166526142536615141536211234253364526341546516,1154,1952
41533,26,13,521615651233211523523514655132233445363154456,7831,1952
41634,28,9,521614113152245132425113544264455664564526514231426,822,1952
41845,3,31,52113152245553542635166651325325344,6666,1952
41851,11,28,52113122524251324534361221446632256441345142245352435551265411552241655622152443356,5836,1952
42066,25,7,51462552232516532213415223662155426152613655632532511325423341615164,2298,1952
42152,11,26,514156435161246266532563244561511244532446251636415,698,1952
42163,18,25,514154251255142543251425625125144255243344625165445135432514556231244332534456,356,1952
42316,15,25,5136245215245622153122543615232416115223655661312213342536611253244625165112236,2572,1952
42396,25,23,513622562331221152213352665531136122514661324351651322334152661321346513262412253443546516,2298,1952
42479,30,4,5131563536543521323635462446355266554435564354224363346546511,1952,5050
42565,4,26,5131523334563556215532536436553661463526514261325344551,2572,1952
42619,25,13,51264125462442124122461311442244366656341613154652225344155133544223355445566,246,1952
42797,26,8,51262326154412234415465234153651215265264112653,2257,1952
42810,23,25,512623261211532253436623514352311361432442342344363546344312453445564516215445135435225144553344526655142536611223443546516,8131,1952
42963,25,18,5126121314261511526121332244645166635442345345426223113344122335445166645513443522544334461516512213635144324524334465516316,3969,1952
42991,25,5,51235412532451425112312412335561123315141542566121123,1952,6826
42994,24,24,5123523114325423445233415224334415665514251641226251331425316152435166142532445166152332415566243512435124324354661511223443546516,7815,1952
43147,28,2,51223352332425563324354325363446253666126541324426455,911,1952
43200,4,27,511624161155412314255146525324514265361121326,6358,1952
43401,27,0,511254131441533352241354652411145516144312541335541235435126,6507,1952
44010,25,23,464356141354641332311336123566141553263151221334642551334351621614151613213244536511223443546516,6746,1952
44497,25,0,4632144613115464324451622613,1765,1952
44860,14,25,46221621162416221354112341625614156613155446365223346,246,1952
44971,25,12,46141642543354324421534221554133451415266645325465,3270,1952
44988,26,13,461364266214215144365443142615521326141615651221524334,7435,1952
45018,25,8,4613161236441641243366114433243543566236,8121,1952
45030,26,4,461264123623143242642356344253661426355266241536431524553243645561,1765,1952
45043,25,14,461216151613615123524315513312213452634452132435164233244526633425125145523425334516,1765,1952
45273,26,9,4565115225514213554224553113226352366536242612623325344,246,1952
45462,30,0,4554352264122553653445536425134435526511426151356415432155344253666115,1952,1488
45529,26,10,45532542324551245125416451222445266325544625561534156251462,5061,1952
45735,34,6,4533543345542253212433445215142133445265544354651126,6308,1952
45781,25,2,453342532521255451453631514351126455,4997,1952
45843,28,2,453254311314642514253355445566,3006,1952
45890,25,15,453154323544132314524534235441345344526553666415,5061,1952
46229,11,25,45233512154335414613443642564516663541615,7541,1952
46283,25,14,4522541551455425425113125544532665416151346143615165164425164213355324423546336,6102,1952
46348,26,15,452254111334532551641356224613251434624311262514335116451322335416,2257,1952
46383,15,25,45225165312212342144553255445166651425423554456152664151322465114652612233661552136416,1182,1952
46445,25,16,4522111425432542531251441354225344566625145665162314251641123652213362514,5836,1952
46618,29,9,4513542155125524554355146544234251311542152445334514253643546413262412342344513344526612213243546615,3320,1952
46703,29,6,451254231155445535142153415514256632241156445211226135,5061,1952
47207,8,30,4451152315541522135526554166554352613553426615132251435233554466,1952,1182
47262,25,5,443533522253455431113253664,3320,1952
47461,25,14,44253344126344223344526154435422435415413423316116123125534415334426556514452153443245,3531,1952
47943,10,25,4411531241532453143554452155346246324151232652435134155234556132131514366516413243152245314255632134,1952,3531
48188,17,27,4363216116441331442344352411554452366524331426251642623344221352455335244556216,1952,3531
48238,26,12,4362253261113441344552165312461154215445136531614151612612665125425,5061,1952
48267,26,16,43612543256131631144664335144165562511556641526631554314566,246,1952
48429,30,9,43353225411541322433251425364536563526413243142536516,3320,1952
48443,25,5,433531514355222335564133242142115146131422544354325142536655235544,246,1952
48537,26,18,433221615111524152134453423443241556351451621635412344161516623324315145145322623341526524314352651124362513325423453445516,3320,1952
48582,19,26,43256531144533442542144356344325243546113243243546665521445334426151653632455114334255245345345546645143155234254662512334451223344556216,1952,246
48691,25,0,43252215241322436555166116131624266135,1567,1952
48764,25,11,432521511415234154335143151416544256456143161222664435233516,246,1952
48824,25,10,43244232432111322544352334455666415,5958,1952
48941,18,30,43156132644513443546654433455623421443344536544553344512514352334425465132432415265122334415265112334455266,1952,246
48970,27,8,431514513221513255445513655445532435466,246,1952
48998,14,25,43151231214532463445233544161223453445566,7815,1952
49014,17,31,431511532155433143654332654352234511615233546516,2791,1952
49311,26,5,42623365364161423511436156146536415161124334452,5061,1952
49594,25,7,42613145444521434534254652622354654131116124462143142231122452316,5061,1952
49595,28,7,42613145434532114221441661564236455,5061,1952
49977,27,2,4231454325444531224334455526325141225445335544556651611133214,6102,1952
50155,27,12,422524342532434534452111456413314456615412221341613244255,1007,1952
50770,27,0,4215131523534253334253655364526514253344526516,1765,1952
50783,29,9,42151152365243155132141132621314524253252135425365122415213246,246,1952
51088,28,5,41612435133412426233441121423344566,5061,1952
52031,30,3,366416121361342144324362556415536426,5061,1952
52153,26,3,36524445415416145233365126314151645234412334425265,246,1952
52170,31,7,36452454455623222126243642155366,1765,1952
52469,4,32,36342654432253262124233442165344155366,1952,1765
52471,25,15,363426463442561316141224334456155431354455233544556652451356344516512243143526511266253141546615233441536516,625,1952
52485,27,2,363426335363163214353133225531143523341522533465445513632436,625,1952
52566,13,25,363416131631562352161413245551243351655435614665143526416,625,1952
52711,28,5,36336356613641222466524542332161514153355243556116,3531,1952
52790,26,16,363356235522335545532125334253645215435566514512231426254631226132441335244536622113514235245543355445566314224152355345546635144522514332544354651326,8302,1952
52860,25,4,36335614263211165413246634453345556415133544255245143523546536,7435,1952
52869,27,13,36335614151215345524115346151151332622141615132466,8299,1952
52958,19,25,36334663212243262466452142344156621352161514253344556641342513544522344352661522334154651326,1952,1765
52959,26,4,36334663143612243314224233445554651425334253641511565411435526,4071,1952
52984,25,6,36332653435122262453322152435531262452665345523453455416,6746,1952
53245,33,2,3632564544453354363542561126544354665115,5061,1952
