,seeds1,seeds2,moves,player1,player2
24069,25,13,6225634252233342123326114653341144334422514334526,5714,1162
24070,26,10,62256342522333421233215445331425365541546,5714,5172
24071,25,7,6225634252233341614533251123341561423544231534264534455,5714,1162
24080,25,17,6225634252212245135223451411615144655161323526126141326542232142161534253345554316145635514253243546516,5714,5172
24083,26,13,622563411434221165131551425536255464112532635,5714,1162
24209,26,5,62256111443655421544152612216112516131253312116121514161552232435,5714,541
24215,25,2,62256111413144154132156243654435541664233,5714,2025
24378,9,26,6224662341665434612455645312235615162444316,504,5714
24379,14,26,6224662341665432244132154233316113225145532431133426221514456332452133455164122441556,7919,5714
24386,25,17,62246623416651315531126422161521516131546141625165161422314255661123661546324452132544316,5714,7919
24388,12,25,622466234166513152465435221141623516524361453224433526142531416,5127,5714
24433,11,25,6224662152426254663452216366441143322522334253223315565231411335224334566,4305,5714
24439,9,25,62246621514211614425115143564522352415635141123413554415562,5127,5714
24443,27,21,6224662143654224453245126351423514453363542113645566653312141615266151634161355,7919,5714
24445,14,30,62246621426234426621344255311125331243216123466542152443266251144521341312336252641334462,7919,5714
24446,16,25,622466214262344266213442511452416125641533124463536435324354153665463445225546326,8345,5714
24447,15,25,6224662142623313425453422346111243633555633655124532635244421511534531126151445522146142355244152334416151666,7919,5714
24448,10,25,62246621426233116642342554161362413513622435625,504,5714
24449,15,25,622466214262326521432113361133221464113225136416151656431135225435132461413632152433416,7919,5714
24450,14,25,622466214262326446213442511452416124423511516133455611215145543152253164361341335243255,7919,5714
24451,10,26,62246621426232644621344251115561262425614161161232462315321413614122461454231562426,8345,5714
24452,25,7,62246621426232634212461516111543211261246542533321625,5714,7919
24453,27,21,6224662142623261425126341554226152345355342233142655364265332512233416152656416351153462514,7919,5714
24454,14,25,62246621426232614251263415523553614151341612665523645546615243325,246,5714
24455,28,14,6224662142623261425126341155663355326652631536512345563342153324566233425,5714,7919
24456,11,25,62246621426232614251263411556632115125625311612615161243651251243,7919,5714
24457,28,15,6224662142623261425126341155663112564534632315443611526,5714,5495
24458,26,15,622466214262326142512634115566311251266253116151613156124255364362242135136124514614224653351425364112236,5714,7919
24459,26,13,62246621426232614251263411556631125126544253653634611364363516426351335243542441336,5714,5495
24461,13,25,622466214262326142512634115562411522615142543142615315161226615665342113245622453,7919,5714
24462,9,27,622466214262326142512634115561334325322536233141141542362514452355463152416,7919,5714
24463,13,26,622466214262326142512634115442244615613116425363412665123124612216152613526,8345,5714
24464,15,27,62246621426232614251263346523541615116114516121561513241612162415441231125226215436434651351234432544354651321445235436455666,7919,5714
24465,28,20,622466214262326142512516551246155334562351155644553243546,5714,5495
24466,15,26,622466214262326142512316541231614423643523121353315543211412263563514632445,7919,5714
24468,9,25,6224662142623261425123165312261553452453464425561152435466326,7919,5714
24469,17,25,62246621426232614251231652162561251623152242653463514233416151666,7919,5714
24470,9,25,62246621426232614251231423143612463243244134645113144625615164115242556,8345,5714
24471,14,25,622466214262326142512314231436124632432441346354663345116133124564526321155233264432436,7919,5714
24580,25,6,62246621411316125116436334432363151361566231161341665216331466532233614,5714,5127
24587,14,26,6224662141124614335423154252355443122534514565511443523326641615164112522,7919,5714
24588,9,25,6224662141124166122155215216152352623526141155225325144311552213462151421431142553455431426,4305,5714
24916,14,25,6224615543362211655126121542342363465,7919,5714
24917,26,12,622461554332116142643523651445366533446,5714,246
24928,8,25,6224614555644552324161225142354366544655261521336,4305,5714
24929,12,25,6224614554622652216141611566514215316126154234236436536416151253423345542,4305,5714
25272,9,26,6223666551466233116251216152346536134,541,5714
25365,29,5,622365426131432542334512566132242161151353623154611223354235142155364,5714,1162
25366,25,7,6223654261314325423345125661322421611512235213431512642215661354416621445,5714,1162
25433,26,22,622364423245234115412243344556644135161225643,541,5714
25722,15,25,62213615362314161536612132634635244536625,7919,5714
25754,12,25,6221361442341146322546322356415233546,4305,5714
25761,13,25,6221361435233426151661322435465,7919,5714
25798,13,25,6221361335243516612233465,6820,5714
25852,26,7,62213514134423451464425231422314465,5714,2025
26597,14,27,61526654466131612155421253142625364516665,8278,5714
26847,8,26,6151362533152132332445341526423344655,8185,5714
26848,25,10,615136253224332534563556465122533411446325526,5714,8302
26852,4,25,6151362344465112563544256,8278,5714
26855,27,4,615136224132622563226541143526554,5714,2025
26858,25,15,615134533226546332142251663446342344356,5714,1162
26863,29,6,61513223343531512211324553243551465345322553346,5714,4851
26867,27,5,61513156224214521641221516133156226,5714,2791
26868,26,13,6151315622415511315123211615225141526655443,5714,389
26869,3,26,615131562241531554451651316,8185,5714
26870,22,26,6151315622415235564134564233421223615435526241526651,5714,2791
26878,33,8,61513152564121513253442151642534116,5714,3356
28340,25,5,6126312541354225364353452433164425366,5714,2548
28341,30,18,612631225135163122336122331526144531562,5714,7894
28445,26,12,61256312322314123363544452146226345241611445215216351623546,5714,5172
28681,26,10,61236241344115264324152611315,5714,8174
28732,25,8,61236125244161511154466552235516641143243,5714,2548
28960,27,12,612261316241263514312213562462513415133521324,5714,2791
